Named Entity tags,Named Entity annotation
ACT,
AGE,
AGREEMENT,
AMPHIBIA,
ARCHITECTURE,
AREA,
BIRD,
CALORIE,
COLOR,
COMPOUND,
CONFERENCE,
COORDINATE,
COUNT,
CURRENCY,
DATE,
DISASTER,
DISEASE,
DISTANCE,
DURATION,
EARTHQUAKE,
ELEMENT,
ERA,
EVENT,
FAC_AIRPORT,
FAC_ARCHELOGICAL,
FAC_MUSEUM,
FAC_PARK,
FAC_PORT,
FAC_RELIGIOUS,
FAC_SCHOOL,
FAC_STATION,
FAC_THEATER,
FAC_ZOO,
FESTIVAL,
FISH,
FLORA,
FREQUENCY,
FUNGUS,
GAME,
GOD,
HEIGHT,
INSECT,
INTENSITY,
KINGDOM,
LINE_BRIDGE,
LINE_CANAL,
LINE_ROAD,
LINE_ROUTE,
LINE_TUNNEL,
LIST,
LIVING_THING,
LOC,Location
LOC_ADDRESS,
LOC_ASTRAL,
LOC_CITY,
LOC_COUNTRY,
LOC_GEO,
LOC_PROVINCE,
LOC_REGION,
MAMMAL,
MEASUREMENT,
MINERAL,
MOLECULE,
MONEY,
MONUMENT,
MULTIPLICATION,
NATION,
ORDINAL,
ORG_CORPORATION,
ORG_ETHNIC,
ORG_FAMILY,
ORG_POLITICAL,
ORG_SPORTS,
ORG_TERROR,
PERCENT,
PERIOD,
PERSON,
PHYSICAL_EXTEND,
POINT,
POPULATION,
POSITION_ROLE,
PRO_ART,
PRO_AWARD,
PRO_CLASS,
PRO_CLOTHING,
PRO_CULTURE,
PRO_DECORATION,
PRO_DRUG,
PRO_FOOD,
PRO_ID,
PRO_LANGUAGE,
PRO_LAW,
PRO_MAGAZINE,
PRO_MATERIAL,
PRO_MONEY,
PRO_MOVEMENT,
PRO_OFFENCE,
PRO_PLAN,
PRO_PRINTING,
PRO_RELIGION,
PRO_RULE,
PRO_SERVICE,
PRO_SPORT,
PRO_STOCK,
PRO_STYLE,
PRO_THEORY,
PRO_VEHICLE,
PRO_WEAPON,
RACE,
RANK,
REPTILE,
SCHOOL_AGE,
SEISMIC,
SPACE,
SPEED,
STOCK,
TEMPERATURE,
TEXT,BOOK
TIME,
TITLE,
TREATY,
TV-PROGRAM,
VOLUME,
WAR,
WEIGHT,
YEAR,
LOC_DIV,Hyphenated part is location
ORG,Organization
OTH,"Other: Every name that is not a location, person or organisation"
PER,Person
